AWP | BOOM (Minimal Wear)
StatTrak™ AK-47 | Vulcan (Battle-Scarred)
AWP | Asiimov (Well-Worn)
StatTrak™ MP9 | Deadly Poison (Well-Worn)
StatTrak™ G3SG1 | Murky (Minimal Wear)
M4A4 | Evil Daimyo (Factory New)
USP-S | Torque (Minimal Wear)
StatTrak™ Glock-18 | Bunsen Burner (Field-Tested)
USP-S | Torque (Field-Tested)
USP-S | Blood Tiger (Factory New)
P90 | Elite Build (Field-Tested)
★ StatTrak™ Falchion Knife | Stained (Battle-Scarred)

Negev | Army Sheen (Minimal Wear)
★ Karambit | Blue Steel (Well-Worn)
M4A1-S | VariCamo (Factory New)
Desert Eagle | Night (Minimal Wear)
Five-SeveN | Jungle (Field-Tested)
SG 553 | Pulse (Field-Tested)
StatTrak™ Galil AR | Kami (Well-Worn)
M4A1-S | Atomic Alloy (Minimal Wear)
USP-S | Torque (Field-Tested)
M4A1-S | Guardian (Factory New)
Nova | Bloomstick (Minimal Wear)
StatTrak™ USP-S | Torque (Factory New)

USP-S | Torque (Field-Tested)
P90 | Elite Build (Well-Worn)
AWP | Hyper Beast (Well-Worn)
Desert Eagle | Night (Minimal Wear)
M4A4 | Evil Daimyo (Factory New)
AWP | Sun in Leo (Field-Tested)
M4A1-S | Hyper Beast (Minimal Wear)
AWP | Safari Mesh (Field-Tested)
SG 553 | Cyrex (Minimal Wear)
StatTrak™ Galil AR | Rocket Pop (Minimal Wear)
MP7 | Whiteout (Minimal Wear)
AWP | Safari Mesh (Field-Tested)
Desert Eagle | Conspiracy (Factory New)
P250 | Whiteout (Field-Tested)
AK-47 | Blue Laminate (Factory New)
P90 | Elite Build (Battle-Scarred)
AK-47 | Blue Laminate (Field-Tested)
★ StatTrak™ Falchion Knife | Night (Minimal Wear)
MP7 | Urban Hazard (Minimal Wear)
Galil AR | VariCamo (Well-Worn)
Glock-18 | Bunsen Burner (Minimal Wear)
StatTrak™ P2000 | Pulse (Factory New)
StatTrak™ USP-S | Torque (Field-Tested)
P90 | Sand Spray (Battle-Scarred)
P2000 | Handgun (Field-Tested)
AK-47 | Blue Laminate (Factory New)
P250 | Mint Kimono (Field-Tested)
StatTrak™ Dual Berettas | Retribution (Factory New)
AK-47 | Redline (Field-Tested)
P90 | Elite Build (Field-Tested)
★ StatTrak™ Falchion Knife | Boreal Forest (Battle-Scarred)
AWP | Pit Viper (Field-Tested)
StatTrak™ P2000 | Handgun (Minimal Wear)
Desert Eagle | Bronze Deco (Minimal Wear)
★ StatTrak™ Falchion Knife | Urban Masked (Minimal Wear)
AWP | Sun in Leo (Factory New)
AK-47 | Blue Laminate (Factory New)
M4A1-S | Nitro (Factory New)
M4A1-S | Basilisk (Minimal Wear)
MP7 | Urban Hazard (Minimal Wear)
StatTrak™ AWP | Hyper Beast (Field-Tested)
StatTrak™ Glock-18 | Steel Disruption (Minimal Wear)
StatTrak™ AK-47 | Elite Build (Minimal Wear)
AWP | Sun in Leo (Factory New)
M4A1-S | Hot Rod (Factory New)
AWP | Sun in Leo (Minimal Wear)
StatTrak™ Glock-18 | Bunsen Burner (Well-Worn)
M4A1-S | Boreal Forest (Battle-Scarred)
AWP | Pit Viper (Field-Tested)
★ Karambit | Doppler (Factory New)
M4A4 | Evil Daimyo (Field-Tested)
USP-S | Torque (Field-Tested)
USP-S | Torque (Factory New)
★ StatTrak™ Falchion Knife | Boreal Forest (Well-Worn)
CZ75-Auto | Pole Position (Field-Tested)
USP-S | Torque (Field-Tested)
P90 | Elite Build (Field-Tested)
AK-47 | Cartel (Minimal Wear)
StatTrak™ M4A4 | 龍王 (Dragon King) (Battle-Scarred)
AWP | Sun in Leo (Minimal Wear)
USP-S | Torque (Minimal Wear)
StatTrak™ AUG | Wings (Factory New)
AK-47 | Hydroponic (Field-Tested)
AK-47 | Hydroponic (Field-Tested)
★ StatTrak™ Falchion Knife | Scorched (Battle-Scarred)
USP-S | Torque (Field-Tested)
AWP | Pit Viper (Field-Tested)
USP-S | Torque (Factory New)
AK-47 | Redline (Minimal Wear)
MAC-10 | Neon Rider (Well-Worn)
AK-47 | Blue Laminate (Field-Tested)
★ Falchion Knife | Boreal Forest (Factory New)
AK-47 | Aquamarine Revenge (Minimal Wear)
P2000 | Handgun (Minimal Wear)
AK-47 | Elite Build (Field-Tested)
MP7 | Nemesis (Minimal Wear)
StatTrak™ Negev | Loudmouth (Field-Tested)
M4A4 | Evil Daimyo (Minimal Wear)
AK-47 | Elite Build (Field-Tested)
StatTrak™ AK-47 | Elite Build (Field-Tested)
StatTrak™ AK-47 | Blue Laminate (Field-Tested)
StatTrak™ USP-S | Torque (Factory New)
AWP | Safari Mesh (Field-Tested)
Souvenir SCAR-20 | Sand Mesh (Field-Tested)
StatTrak™ P2000 | Corticera (Field-Tested)
Five-SeveN | Hot Shot (Factory New)
StatTrak™ P90 | Elite Build (Minimal Wear)
Five-SeveN | Nitro (Field-Tested)
AK-47 | Aquamarine Revenge (Well-Worn)
AK-47 | Hydroponic (Field-Tested)
P90 | Elite Build (Field-Tested)
P90 | Elite Build (Field-Tested)
PP-Bizon | Bamboo Print (Minimal Wear)
AK-47 | Redline (Field-Tested)
AK-47 | Hydroponic (Factory New)
PP-Bizon | Osiris (Factory New)
StatTrak™ P250 | Valence (Battle-Scarred)
StatTrak™ P2000 | Handgun (Well-Worn)
AK-47 | Aquamarine Revenge (Field-Tested)
AWP | Dragon Lore (Factory New)
SCAR-20 | Grotto (Battle-Scarred)
AK-47 | Blue Laminate (Minimal Wear)
P90 | Asiimov (Factory New)
AWP | Sun in Leo (Factory New)
USP-S | Torque (Minimal Wear)
P250 | Valence (Field-Tested)
StatTrak™ P90 | Elite Build (Minimal Wear)
M4A1-S | Nitro (Minimal Wear)
P250 | Bone Mask (Minimal Wear)
StatTrak™ USP-S | Guardian (Field-Tested)
StatTrak™ Nova | Koi (Factory New)
AUG | Condemned (Factory New)
AWP | Hyper Beast (Factory New)
AK-47 | Aquamarine Revenge (Battle-Scarred)
StatTrak™ P90 | Trigon (Field-Tested)
StatTrak™ USP-S | Torque (Field-Tested)
AK-47 | Jaguar (Field-Tested)
AUG | Radiation Hazard (Well-Worn)
USP-S | Torque (Field-Tested)
Negev | Bratatat (Field-Tested)
StatTrak™ Glock-18 | Blue Fissure (Minimal Wear)
StatTrak™ SSG 08 | Slashed (Field-Tested)
Desert Eagle | Midnight Storm (Minimal Wear)
Glock-18 | Bunsen Burner (Field-Tested)
MP7 | Whiteout (Field-Tested)
Tec-9 | Bamboo Forest (Minimal Wear)
Glock-18 | Bunsen Burner (Well-Worn)
AK-47 | Aquamarine Revenge (Well-Worn)
M4A4 | Evil Daimyo (Factory New)
StatTrak™ PP-Bizon | Osiris (Field-Tested)
StatTrak™ P2000 | Pulse (Factory New)
MAC-10 | Silver (Factory New)
USP-S | Torque (Field-Tested)
FAMAS | Neural Net (Field-Tested)
M4A1-S | Basilisk (Field-Tested)
Tec-9 | Toxic (Factory New)
AUG | Chameleon (Field-Tested)
AK-47 | Redline (Field-Tested)
AWP | Dragon Lore (Minimal Wear)
AWP | Pit Viper (Field-Tested)
M4A1-S | Atomic Alloy (Field-Tested)
AK-47 | Aquamarine Revenge (Field-Tested)
StatTrak™ SG 553 | Wave Spray (Field-Tested)
G3SG1 | Desert Storm (Minimal Wear)
SSG 08 | Blood in the Water (Minimal Wear)
M4A1-S | Guardian (Minimal Wear)
Desert Eagle | Midnight Storm (Minimal Wear)
UMP-45 | Riot (Minimal Wear)
StatTrak™ SSG 08 | Blood in the Water (Minimal Wear)
AWP | Sun in Leo (Minimal Wear)
Tec-9 | Bamboo Forest (Factory New)
MP9 | Hot Rod (Factory New)
M4A4 | Evil Daimyo (Factory New)
StatTrak™ Glock-18 | Catacombs (Battle-Scarred)
AWP | Pit Viper (Well-Worn)
AWP | Sun in Leo (Minimal Wear)
Glock-18 | Bunsen Burner (Minimal Wear)
M4A1-S | Icarus Fell (Factory New)
AK-47 | Cartel (Field-Tested)
AK-47 | Safari Mesh (Battle-Scarred)
Five-SeveN | Hot Shot (Minimal Wear)
AWP | Sun in Leo (Field-Tested)
M4A1-S | Nitro (Field-Tested)
StatTrak™ M4A1-S | Atomic Alloy (Well-Worn)
StatTrak™ Glock-18 | Bunsen Burner (Factory New)
AWP | Pink DDPAT (Minimal Wear)
P90 | Elite Build (Battle-Scarred)
StatTrak™ USP-S | Guardian (Field-Tested)
AWP | Hyper Beast (Minimal Wear)
P2000 | Ivory (Minimal Wear)
AUG | Condemned (Factory New)
M4A1-S | Nitro (Field-Tested)
AK-47 | Cartel (Battle-Scarred)
Five-SeveN | Monkey Business (Field-Tested)
StatTrak™ UMP-45 | Delusion (Field-Tested)
AK-47 | Redline (Field-Tested)
AWP | Pit Viper (Minimal Wear)
P90 | Elite Build (Minimal Wear)
StatTrak™ Galil AR | Rocket Pop (Well-Worn)
StatTrak™ Five-SeveN | Nightshade (Factory New)
FAMAS | Neural Net (Field-Tested)
★ M9 Bayonet | Doppler (Factory New)
M4A1-S | Nitro (Minimal Wear)
AK-47 | Vulcan (Minimal Wear)
StatTrak™ G3SG1 | Murky (Field-Tested)
AWP | Safari Mesh (Field-Tested)
StatTrak™ P90 | Desert Warfare (Factory New)
StatTrak™ AK-47 | Blue Laminate (Field-Tested)
AWP | Worm God (Factory New)
Galil AR | Chatterbox (Well-Worn)
AK-47 | Redline (Field-Tested)
StatTrak™ M4A4 | Faded Zebra (Minimal Wear)
MAG-7 | Heat (Factory New)
★ Flip Knife | Ultraviolet (Field-Tested)
AK-47 | Aquamarine Revenge (Field-Tested)

M4A1-S | Atomic Alloy (Field-Tested)
Souvenir Nova | Predator (Well-Worn)
P90 | Elite Build (Field-Tested)
StatTrak™ Glock-18 | Bunsen Burner (Field-Tested)
AWP | Sun in Leo (Field-Tested)
Tec-9 | Bamboo Forest (Well-Worn)

AK-47 | Predator (Battle-Scarred)
AK-47 | Elite Build (Well-Worn)
P2000 | Handgun (Well-Worn)
StatTrak™ USP-S | Torque (Field-Tested)
StatTrak™ Dual Berettas | Panther (Minimal Wear)
M4A1-S | Nitro (Minimal Wear)
AWP | Worm God (Minimal Wear)
StatTrak™ Glock-18 | Catacombs (Minimal Wear)
AWP | Sun in Leo (Field-Tested)
AK-47 | Aquamarine Revenge (Battle-Scarred)
M4A4 | Daybreak (Factory New)
AK-47 | Elite Build (Minimal Wear)
AWP | Pit Viper (Minimal Wear)
P90 | Elite Build (Battle-Scarred)
StatTrak™ MAG-7 | Heat (Field-Tested)
P90 | Elite Build (Field-Tested)

USP-S | Torque (Minimal Wear)
USP-S | Torque (Factory New)
★ Karambit | Doppler (Minimal Wear)
M4A1-S | Hot Rod (Factory New)
Nova | Sand Dune (Field-Tested)
MP7 | Nemesis (Field-Tested)
StatTrak™ AUG | Bengal Tiger (Minimal Wear)
AK-47 | Redline (Field-Tested)
AWP | Sun in Leo (Battle-Scarred)
AWP | Sun in Leo (Field-Tested)
StatTrak™ Glock-18 | Bunsen Burner (Field-Tested)


StatTrak™ MAG-7 | Heaven Guard (Factory New)
P90 | Module (Field-Tested)
USP-S | Torque (Factory New)
AK-47 | Hydroponic (Minimal Wear)
AK-47 | Hydroponic (Minimal Wear)
M4A4 | X-Ray (Field-Tested)
AWP | Sun in Leo (Factory New)
AK-47 | Redline (Field-Tested)
M4A1-S | Nitro (Factory New)
P250 | Supernova (Well-Worn)
Tec-9 | Titanium Bit (Factory New)
StatTrak™ Desert Eagle | Hypnotic (Factory New)
M4A4 | 龍王 (Dragon King) (Field-Tested)
AK-47 | Redline (Field-Tested)
P250 | Contamination (Field-Tested)
AK-47 | Elite Build (Well-Worn)
StatTrak™ AK-47 | Case Hardened (Field-Tested)
AK-47 | Blue Laminate (Minimal Wear)
AWP | Worm God (Field-Tested)

G3SG1 | Orange Kimono (Factory New)
StatTrak™ Desert Eagle | Crimson Web (Minimal Wear)
StatTrak™ USP-S | Torque (Factory New)
AK-47 | Case Hardened (Field-Tested)
AWP | Sun in Leo (Field-Tested)
StatTrak™ AWP | Man-o'-war (Minimal Wear)
AWP | Redline (Minimal Wear)
StatTrak™ MAC-10 | Neon Rider (Minimal Wear)
MP7 | Skulls (Minimal Wear)
Tec-9 | Bamboo Forest (Factory New)
G3SG1 | Jungle Dashed (Well-Worn)
StatTrak™ USP-S | Torque (Minimal Wear)
AWP | Worm God (Field-Tested)
★ Karambit | Doppler (Factory New)
Nova | Ranger (Minimal Wear)
Souvenir CZ75-Auto | Chalice (Factory New)
StatTrak™ M4A1-S | Blood Tiger (Factory New)
M249 | Contrast Spray (Field-Tested)
MP9 | Ruby Poison Dart (Minimal Wear)
UMP-45 | Urban DDPAT (Minimal Wear)
FAMAS | Cyanospatter (Factory New)

AK-47 | Blue Laminate (Factory New)
AWP | Corticera (Field-Tested)
MAG-7 | Seabird (Battle-Scarred)
AWP | Hyper Beast (Minimal Wear)
StatTrak™ FAMAS | Neural Net (Field-Tested)
StatTrak™ M4A1-S | Cyrex (Minimal Wear)
Souvenir Sawed-Off | Irradiated Alert (Field-Tested)
M4A1-S | Hyper Beast (Factory New)
StatTrak™ FAMAS | Neural Net (Field-Tested)
AK-47 | Aquamarine Revenge (Field-Tested)
SSG 08 | Blood in the Water (Minimal Wear)
StatTrak™ USP-S | Torque (Minimal Wear)
StatTrak™ USP-S | Torque (Minimal Wear)
P90 | Elite Build (Battle-Scarred)
P90 | Elite Build (Minimal Wear)
AWP | Hyper Beast (Field-Tested)
StatTrak™ USP-S | Torque (Minimal Wear)
AWP | Safari Mesh (Minimal Wear)
StatTrak™ SSG 08 | Slashed (Battle-Scarred)
Glock-18 | Bunsen Burner (Field-Tested)
AK-47 | Elite Build (Well-Worn)
AK-47 | Redline (Field-Tested)
USP-S | Torque (Minimal Wear)
MAC-10 | Neon Rider (Well-Worn)
StatTrak™ Galil AR | Rocket Pop (Minimal Wear)
StatTrak™ CZ75-Auto | Pole Position (Factory New)
AWP | Corticera (Minimal Wear)
M4A1-S | Hyper Beast (Minimal Wear)
StatTrak™ USP-S | Torque (Factory New)
Galil AR | Sage Spray (Field-Tested)
M4A1-S | Blood Tiger (Minimal Wear)
M249 | Impact Drill (Factory New)
AK-47 | Blue Laminate (Factory New)
Desert Eagle | Naga (Well-Worn)
Souvenir UMP-45 | Fallout Warning (Well-Worn)
Glock-18 | Catacombs (Minimal Wear)
AWP | Pit Viper (Minimal Wear)
StatTrak™ USP-S | Torque (Minimal Wear)
StatTrak™ AK-47 | Blue Laminate (Minimal Wear)
StatTrak™ Desert Eagle | Bronze Deco (Field-Tested)
P250 | Valence (Battle-Scarred)

PP-Bizon | Bamboo Print (Minimal Wear)
AWP | Hyper Beast (Field-Tested)
AWP | BOOM (Minimal Wear)
M4A1-S | Hyper Beast (Field-Tested)
AK-47 | Redline (Field-Tested)
StatTrak™ Desert Eagle | Naga (Field-Tested)
StatTrak™ SG 553 | Pulse (Field-Tested)
P2000 | Handgun (Field-Tested)
Souvenir G3SG1 | Desert Storm (Field-Tested)
AK-47 | Blue Laminate (Factory New)
M4A4 | Evil Daimyo (Minimal Wear)

AK-47 | Elite Build (Factory New)
AWP | Sun in Leo (Well-Worn)
AWP | Pit Viper (Field-Tested)
AWP | Safari Mesh (Field-Tested)
AUG | Akihabara Accept (Well-Worn)
StatTrak™ P90 | Blind Spot (Factory New)
P2000 | Handgun (Well-Worn)
MP7 | Nemesis (Minimal Wear)
AWP | Worm God (Factory New)
Desert Eagle | Midnight Storm (Minimal Wear)
MAG-7 | Heaven Guard (Factory New)
Glock-18 | Water Elemental (Factory New)
Galil AR | Eco (Field-Tested)
Glock-18 | Bunsen Burner (Minimal Wear)

AWP | Pit Viper (Well-Worn)
M4A4 | Evil Daimyo (Minimal Wear)
USP-S | Royal Blue (Minimal Wear)
Negev | Loudmouth (Field-Tested)

Desert Eagle | Crimson Web (Field-Tested)
AWP | Pit Viper (Field-Tested)
Glock-18 | Water Elemental (Field-Tested)
M4A4 | Evil Daimyo (Factory New)
AK-47 | Elite Build (Minimal Wear)
Glock-18 | Sand Dune (Battle-Scarred)
StatTrak™ Desert Eagle | Heirloom (Field-Tested)
StatTrak™ AWP | Worm God (Minimal Wear)
Glock-18 | Dragon Tattoo (Factory New)
★ Flip Knife | Urban Masked (Battle-Scarred)
P90 | Ash Wood (Field-Tested)
Glock-18 | Candy Apple (Factory New)
Five-SeveN | Monkey Business (Field-Tested)
AK-47 | Blue Laminate (Field-Tested)
G3SG1 | Orange Kimono (Factory New)
Five-SeveN | Monkey Business (Field-Tested)
M4A4 | Evil Daimyo (Minimal Wear)
P250 | Valence (Factory New)
AK-47 | Aquamarine Revenge (Well-Worn)
AWP | Electric Hive (Field-Tested)
P90 | Blind Spot (Factory New)
StatTrak™ P2000 | Pulse (Minimal Wear)
M4A1-S | Boreal Forest (Minimal Wear)
CZ75-Auto | Army Sheen (Minimal Wear)
SG 553 | Fallout Warning (Minimal Wear)
M4A4 | Jungle Tiger (Minimal Wear)
StatTrak™ P250 | Muertos (Field-Tested)
M4A1-S | Cyrex (Minimal Wear)
M4A1-S | Hyper Beast (Battle-Scarred)
M4A1-S | Blood Tiger (Factory New)
Souvenir P90 | Sand Spray (Well-Worn)
M4A1-S | Atomic Alloy (Field-Tested)
AWP | Sun in Leo (Field-Tested)
M4A1-S | Guardian (Field-Tested)
StatTrak™ USP-S | Torque (Factory New)
★ M9 Bayonet | Blue Steel (Minimal Wear)
AWP | Redline (Field-Tested)
StatTrak™ P90 | Elite Build (Minimal Wear)
★ StatTrak™ Falchion Knife | Fade (Factory New)
M4A1-S | Guardian (Field-Tested)
USP-S | Blood Tiger (Factory New)
P250 | Crimson Kimono (Factory New)
StatTrak™ AK-47 | Elite Build (Field-Tested)
AK-47 | Redline (Field-Tested)
StatTrak™ MAG-7 | Heaven Guard (Factory New)
★ Karambit | Doppler (Factory New)
AK-47 | Elite Build (Minimal Wear)
AK-47 | Blue Laminate (Minimal Wear)
AK-47 | Cartel (Field-Tested)
Five-SeveN | Monkey Business (Battle-Scarred)
M4A1-S | VariCamo (Factory New)

StatTrak™ SCAR-20 | Grotto (Factory New)
AWP | Pit Viper (Field-Tested)
UMP-45 | Corporal (Field-Tested)
AK-47 | Elite Build (Battle-Scarred)
CZ75-Auto | Victoria (Minimal Wear)
AK-47 | Redline (Field-Tested)
StatTrak™ AWP | Corticera (Minimal Wear)
AWP | Pit Viper (Field-Tested)
StatTrak™ Tec-9 | Isaac (Minimal Wear)
StatTrak™ AWP | Hyper Beast (Minimal Wear)

Souvenir M249 | Contrast Spray (Field-Tested)
UMP-45 | Riot (Factory New)
M4A4 | Desert Storm (Minimal Wear)
AWP | Pit Viper (Field-Tested)
MP7 | Army Recon (Factory New)
AWP | Sun in Leo (Minimal Wear)
M249 | Impact Drill (Field-Tested)
Glock-18 | Bunsen Burner (Minimal Wear)
CZ75-Auto | Yellow Jacket (Field-Tested)
AK-47 | Redline (Field-Tested)
★ Flip Knife | Ultraviolet (Minimal Wear)

PP-Bizon | Blue Streak (Minimal Wear)
M4A1-S | Atomic Alloy (Field-Tested)
AK-47 | Blue Laminate (Factory New)

AK-47 | Redline (Field-Tested)
P90 | Module (Field-Tested)

AWP | Pit Viper (Field-Tested)
AWP | Pit Viper (Minimal Wear)
USP-S | Torque (Factory New)
AUG | Torque (Minimal Wear)
M4A1-S | Guardian (Factory New)
AK-47 | Elite Build (Battle-Scarred)
StatTrak™ AWP | BOOM (Minimal Wear)
M4A1-S | Guardian (Factory New)
StatTrak™ P2000 | Red FragCam (Field-Tested)
SG 553 | Waves Perforated (Field-Tested)
StatTrak™ P250 | Muertos (Battle-Scarred)
P90 | Sand Spray (Minimal Wear)
★ M9 Bayonet | Fade (Factory New)
AWP | Medusa (Field-Tested)
SCAR-20 | Sand Mesh (Battle-Scarred)
StatTrak™ USP-S | Torque (Factory New)
M4A1-S | Boreal Forest (Factory New)
AK-47 | Safari Mesh (Field-Tested)
P250 | Valence (Field-Tested)
StatTrak™ P250 | Valence (Factory New)
M4A4 | 龍王 (Dragon King) (Field-Tested)
AWP | Sun in Leo (Minimal Wear)
StatTrak™ M4A4 | Griffin (Field-Tested)
StatTrak™ Negev | Loudmouth (Field-Tested)
CZ75-Auto | Yellow Jacket (Well-Worn)
AK-47 | Predator (Well-Worn)
AWP | Hyper Beast (Battle-Scarred)

M4A1-S | Guardian (Factory New)
StatTrak™ USP-S | Stainless (Field-Tested)
StatTrak™ Glock-18 | Blue Fissure (Field-Tested)
★ Flip Knife | Urban Masked (Minimal Wear)
Glock-18 | Bunsen Burner (Field-Tested)
StatTrak™ Five-SeveN | Nightshade (Field-Tested)
StatTrak™ MAC-10 | Ultraviolet (Minimal Wear)
StatTrak™ AWP | Man-o'-war (Field-Tested)
Desert Eagle | Midnight Storm (Minimal Wear)
Souvenir Nova | Walnut (Field-Tested)
PP-Bizon | Bamboo Print (Factory New)
AK-47 | Cartel (Field-Tested)
AK-47 | Predator (Minimal Wear)
StatTrak™ P2000 | Ivory (Minimal Wear)
AWP | Pit Viper (Minimal Wear)
StatTrak™ AK-47 | Vulcan (Minimal Wear)
StatTrak™ CZ75-Auto | Tigris (Factory New)
FAMAS | Styx (Factory New)
M4A1-S | VariCamo (Factory New)
MAC-10 | Fade (Factory New)
StatTrak™ AK-47 | Elite Build (Factory New)
AK-47 | Redline (Field-Tested)
StatTrak™ M4A1-S | Atomic Alloy (Field-Tested)
StatTrak™ P2000 | Handgun (Well-Worn)
Tec-9 | Bamboo Forest (Field-Tested)
MAC-10 | Silver (Factory New)
PP-Bizon | Chemical Green (Battle-Scarred)
M4A4 | Evil Daimyo (Field-Tested)
AWP | Worm God (Factory New)
AWP | Sun in Leo (Factory New)
MAC-10 | Neon Rider (Well-Worn)
★ M9 Bayonet | Forest DDPAT (Field-Tested)
★ Gut Knife | Damascus Steel (Minimal Wear)
USP-S | Road Rash (Well-Worn)
Five-SeveN | Monkey Business (Field-Tested)
AK-47 | Emerald Pinstripe (Field-Tested)
USP-S | Para Green (Factory New)
AK-47 | Blue Laminate (Field-Tested)
AWP | Pit Viper (Field-Tested)
P2000 | Corticera (Minimal Wear)
StatTrak™ AK-47 | Cartel (Field-Tested)
AWP | Medusa (Minimal Wear)
StatTrak™ Galil AR | Chatterbox (Battle-Scarred)
M4A1-S | Atomic Alloy (Well-Worn)
★ Karambit | Case Hardened (Battle-Scarred)
★ Butterfly Knife | Slaughter (Factory New)
Souvenir Five-SeveN | Hot Shot (Battle-Scarred)
AK-47 | Elite Build (Minimal Wear)
MP9 | Ruby Poison Dart (Factory New)
AWP | Worm God (Factory New)
Souvenir AUG | Colony (Minimal Wear)
SG 553 | Pulse (Minimal Wear)
CZ75-Auto | Pole Position (Battle-Scarred)
P250 | Metallic DDPAT (Minimal Wear)
StatTrak™ Glock-18 | Water Elemental (Minimal Wear)
StatTrak™ Glock-18 | Water Elemental (Minimal Wear)
M4A1-S | Guardian (Factory New)

StatTrak™ M4A1-S | Basilisk (Minimal Wear)
AWP | Pit Viper (Field-Tested)
P2000 | Amber Fade (Minimal Wear)
★ Karambit | Marble Fade (Factory New)
StatTrak™ USP-S | Stainless (Battle-Scarred)
M4A1-S | Guardian (Factory New)
AK-47 | Elite Build (Factory New)
AWP | Safari Mesh (Field-Tested)
SG 553 | Cyrex (Field-Tested)
CZ75-Auto | Yellow Jacket (Field-Tested)
StatTrak™ P2000 | Ocean Foam (Factory New)
AK-47 | Redline (Field-Tested)
AWP | Worm God (Field-Tested)

AWP | Pit Viper (Minimal Wear)
StatTrak™ XM1014 | Quicksilver (Factory New)
P2000 | Ivory (Factory New)
P90 | Elite Build (Battle-Scarred)
MAC-10 | Indigo (Minimal Wear)
Glock-18 | Bunsen Burner (Field-Tested)
StatTrak™ P2000 | Handgun (Factory New)
XM1014 | Red Leather (Minimal Wear)
AWP | Corticera (Field-Tested)
StatTrak™ USP-S | Blood Tiger (Minimal Wear)
Tec-9 | Sandstorm (Field-Tested)
MP9 | Bulldozer (Minimal Wear)
MAC-10 | Neon Rider (Field-Tested)
M4A1-S | Boreal Forest (Factory New)
AK-47 | Cartel (Field-Tested)
AK-47 | Cartel (Minimal Wear)
P90 | Elite Build (Well-Worn)
M4A1-S | Guardian (Factory New)
StatTrak™ SCAR-20 | Grotto (Minimal Wear)
Desert Eagle | Mudder (Well-Worn)
StatTrak™ Dual Berettas | Urban Shock (Battle-Scarred)
CZ75-Auto | Victoria (Minimal Wear)
AK-47 | Aquamarine Revenge (Minimal Wear)
AK-47 | Blue Laminate (Factory New)
Glock-18 | Reactor (Minimal Wear)
AK-47 | Aquamarine Revenge (Battle-Scarred)
AK-47 | Elite Build (Field-Tested)
P250 | Crimson Kimono (Minimal Wear)
M4A1-S | VariCamo (Minimal Wear)
Galil AR | Rocket Pop (Field-Tested)
AWP | Pit Viper (Field-Tested)
Tec-9 | Bamboo Forest (Factory New)
AWP | Hyper Beast (Factory New)
SSG 08 | Abyss (Minimal Wear)
StatTrak™ M4A1-S | Atomic Alloy (Well-Worn)
AWP | Hyper Beast (Field-Tested)
AWP | Safari Mesh (Field-Tested)
★ Falchion Knife | Night (Factory New)
M4A1-S | Nitro (Factory New)
M4A1-S | Nitro (Field-Tested)
Desert Eagle | Sunset Storm 弐 (Minimal Wear)
FAMAS | Styx (Factory New)
Glock-18 | Bunsen Burner (Minimal Wear)
StatTrak™ P2000 | Handgun (Well-Worn)
AK-47 | Redline (Field-Tested)
P250 | Mint Kimono (Minimal Wear)

M4A1-S | Boreal Forest (Field-Tested)
